perf_id,position,flag_type,bell,flag_text
1160242,0,first-quarter,1,
1160245,0,first-quarter,6,
1160332,0,first-quarter,6,
1160165,0,first-quarter,1,
1160139,0,first-quarter,4,
1159909,0,first-quarter,1,
1159909,1,first-quarter,6,
1159878,0,first-quarter,1,
1159897,0,first-quarter,3,
1159859,0,first-quarter,1,
1160022,0,first-peal,4,
1160180,0,new-method,,
1160262,0,first-peal,2,
1160262,1,first-peal,6,
1159855,0,first-peal,6,
1159647,0,first-peal,1,
1159626,0,first-quarter,6,
1159612,0,first-quarter,1,
1159269,0,first-quarter,1,
1159335,0,first-quarter,8,
1159384,0,first-quarter,6,
1159385,0,first-quarter,1,
1160725,0,first-quarter,1,
1160725,1,first-quarter,6,
1159287,0,first-quarter,1,
1159166,0,simulated-sound,,
1159570,0,first-quarter,1,
1161624,0,first-quarter,1,
1161624,1,first-quarter,6,
1159165,0,first-quarter,1,
1159165,1,first-quarter,6,
1160270,0,first-quarter,1,
1159107,0,first-peal,1,
1158797,0,first-quarter,6,
1158743,0,simulated-sound,,
1158829,0,first-quarter,1,
1158829,1,first-quarter,6,
1158895,0,first-quarter,1,
1158895,1,first-quarter,6,
1158895,2,first-quarter,8,
1158724,0,first-quarter,6,
1158531,0,first-quarter,6,
1158500,0,first-quarter,6,
1158463,0,first-quarter,1,
1709623,0,first-quarter,1,
1158472,0,first-quarter,1,
1158327,0,first-quarter,6,
1158275,0,first-quarter,1,
1158187,0,first-quarter,1,
1158172,0,simulated-sound,,
1158174,0,first-quarter,6,
1158072,0,first-quarter,6,
1157959,0,first-quarter,1,
1141002,0,first-peal,1,
1141002,1,first-peal,8,
1157773,0,first-quarter,6,
1137427,0,first-quarter,6,
1155426,0,first-quarter,1,
1141120,0,first-quarter,1,
1158087,0,first-quarter,6,
1113201,0,first-peal,1,
1088895,0,first-quarter,1,
1043701,0,simulated-sound,,
1159525,0,first-quarter,8,
1043618,0,first-quarter,1,
1043192,0,first-quarter,6,
1163904,0,first-quarter,1,
1163779,0,simulated-sound,,
1163773,0,first-quarter,2,
1163773,1,first-quarter,4,
1163549,0,first-quarter,6,
1163653,0,first-quarter,1,
1163388,0,first-quarter,1,
1163395,0,first-quarter,1,
1163410,0,first-peal,1,
1163410,1,first-peal,6,
1163333,0,simulated-sound,,
1163129,0,new-method,,
1163036,0,simulated-sound,,
1960662,0,first-quarter,6,
1162843,0,first-quarter,6,
1209363,0,first-quarter,6,
1162731,0,first-quarter,1,
1162962,0,first-quarter,6,
1162816,0,first-quarter,1,
1162625,0,first-quarter,1,
1162619,0,first-quarter,1,
1162621,0,simulated-sound,,
1162585,0,first-quarter,1,
1162466,0,first-quarter,6,
1162389,0,first-peal,8,
1162356,0,first-quarter,1,
1162166,0,simulated-sound,,
1162177,0,first-quarter,1,
1162179,0,first-quarter,1,
1686162,0,first-quarter,1,
1161839,0,first-quarter,6,
1161763,0,first-quarter,6,
1162725,0,first-peal,6,
1161902,0,new-method,,
1161931,0,first-quarter,6,
1161657,0,first-quarter,1,
1162164,0,simulated-sound,,
1161484,0,new-method,,
1161419,0,first-quarter,5,
1161301,0,first-quarter,5,
1161299,0,first-quarter,1,
1161527,0,first-quarter,1,
1161148,0,simulated-sound,,
1161866,0,simulated-sound,,
1209359,0,first-peal,5,
1209359,1,first-peal,8,
1161154,0,first-quarter,1,
1160796,0,first-quarter,1,
1160742,0,first-peal,6,
1160837,0,new-method,,
1160716,0,first-quarter,1,
1161051,0,first-quarter,6,
1160789,0,first-quarter,1,
1160797,0,first-quarter,1,
1160660,0,simulated-sound,,
1160612,0,new-method,,
1624025,0,first-quarter,3,
1167518,0,simulated-sound,,
1167397,0,simulated-sound,,
1167359,0,first-quarter,6,
1167285,0,new-method,,
1167323,0,first-quarter,1,
1167324,0,first-quarter,6,
1167370,0,first-quarter,1,
1167264,0,new-method,,
1167031,0,first-peal,4,
1167003,0,first-quarter,1,
1166941,0,first-quarter,3,
1167093,0,first-quarter,1,
1166936,0,first-quarter,1,
1166936,1,first-quarter,6,
1166935,0,first-quarter,1,
1168349,0,first-quarter,5,
1166858,0,new-method,,
1166857,0,simulated-sound,,
1166811,0,first-quarter,1,
1166783,0,first-quarter,6,
1964243,0,first-quarter,6,
1311660,0,first-quarter,6,
1250226,0,first-quarter,1,
1250226,1,first-quarter,3,
1186388,0,first-quarter,1,
1166596,0,first-quarter,2,
1166552,0,first-quarter,6,
1166489,0,simulated-sound,,
1166408,0,first-quarter,2,
1166451,0,simulated-sound,,
1166228,0,first-quarter,6,
1166290,0,first-quarter,6,
1964601,0,first-quarter,6,
1166056,0,first-quarter,6,
1166026,0,first-quarter,6,
1166011,0,first-quarter,6,
1165948,0,first-quarter,6,
1335444,0,first-quarter,1,
1335444,1,first-quarter,2,
1166105,0,first-quarter,8,
1166450,0,first-quarter,6,
1165849,0,simulated-sound,,
1165718,0,first-quarter,6,
1165605,0,simulated-sound,,
1165924,0,simulated-sound,,
1166267,0,first-quarter,8,
1186579,0,first-quarter,1,
1165554,0,first-quarter,1,
1165359,0,first-quarter,6,
1165392,0,first-quarter,1,
1165542,0,first-peal,3,
1816724,0,first-quarter,1,
1165370,0,first-quarter,6,
1166509,0,first-quarter,6,
1165233,0,first-peal,8,
1165046,0,first-quarter,1,
1165244,0,first-peal,2,
1165052,0,first-quarter,1,
1165052,1,first-quarter,2,
1165051,0,first-quarter,6,
1164943,0,simulated-sound,,
1164979,0,first-quarter,6,
1164646,0,simulated-sound,,
1164624,0,first-quarter,4,
1164383,0,first-quarter,2,
1164623,0,first-quarter,1,
1164335,0,first-quarter,6,
1165030,0,first-quarter,1,
1713960,0,first-quarter,6,
1164376,0,first-quarter,1,
1164469,0,new-method,,
1164827,0,first-quarter,1,
1164362,0,first-peal,3,
1164125,0,first-quarter,1,
1164054,0,simulated-sound,,
1164000,0,first-quarter,6,
1197507,0,first-quarter,1,
1197507,1,first-quarter,2,
1197507,2,first-quarter,6,
1163918,0,first-quarter,6,
1209380,0,first-peal,2,
1209380,1,first-peal,4,
1674875,0,first-quarter,1,
1170781,0,first-quarter,1,
1170756,0,first-quarter,1,
1171025,0,first-quarter,2,
1170719,0,first-quarter,2,
1170751,0,first-quarter,6,
1170286,0,first-peal,4,
1170305,0,first-quarter,6,
1170361,0,first-quarter,1,
1170361,1,first-quarter,2,
1170361,2,first-quarter,3,
1170361,3,first-quarter,4,
1170251,0,first-quarter,1,
1170140,0,first-quarter,1,
1170226,0,simulated-sound,,
1170081,0,first-quarter,1,
1170202,0,first-quarter,1,
1170202,1,first-quarter,2,
1170099,0,simulated-sound,,
1170162,0,new-method,,
1170017,0,first-quarter,1,
1170056,0,first-peal,5,
1170026,0,first-quarter,1,
1170069,0,first-quarter,1,
1170066,0,first-quarter,1,
1169904,0,simulated-sound,,
1169804,0,first-quarter,1,
1169764,0,first-quarter,6,
1169800,0,first-peal,1,
1170428,0,first-quarter,6,
1169677,0,first-peal,8,
1169720,0,first-quarter,1,
1169692,0,first-quarter,8,
1169434,0,first-quarter,1,
1169322,0,new-method,,
1169289,0,simulated-sound,,
1169202,0,first-quarter,6,
1169204,0,first-quarter,1,
1225701,0,first-quarter,1,
1169022,0,first-quarter,6,
1168937,0,first-peal,2,
1168754,0,first-quarter,6,
1168676,0,simulated-sound,,
1168575,0,simulated-sound,,
1206560,0,first-quarter,6,
1168503,0,first-quarter,6,
1168545,0,first-quarter,2,
1168410,0,first-quarter,1,
1168420,0,new-method,,
1168483,0,first-quarter,6,
1168586,0,first-quarter,1,
1168586,1,first-quarter,6,
1168408,0,first-quarter,6,
1168739,0,first-quarter,6,
1168295,0,first-peal,6,
1168522,0,first-quarter,6,
1168309,0,first-quarter,1,
1168275,0,first-quarter,1,
1168268,0,first-quarter,1,
1168254,0,first-quarter,6,
1168245,0,new-method,,
1313968,0,first-quarter,1,
1313968,1,first-quarter,2,
1168074,0,first-quarter,1,
1712486,0,first-quarter,1,
1167770,0,first-quarter,6,
1167767,0,first-quarter,6,
1167778,0,first-quarter,1,
1680109,0,first-quarter,6,
1658642,0,first-quarter,1,
1167853,0,first-quarter,6,
1167970,0,first-quarter,1,
1168600,0,first-quarter,6,
1174736,0,first-quarter,6,
1174108,0,first-quarter,1,
1174114,0,simulated-sound,,
1174303,0,first-quarter,6,
1173939,0,first-quarter,1,
1173939,1,first-quarter,6,
1173885,0,first-quarter,1,
1173885,1,first-quarter,6,
1173946,0,first-quarter,6,
1173929,0,simulated-sound,,
1174169,0,first-quarter,6,
1174620,0,first-quarter,6,
1173743,0,first-quarter,1,
1173741,0,first-quarter,1,
1173565,0,first-peal,6,
1173529,0,first-quarter,2,
1173513,0,first-quarter,1,
1173444,0,first-quarter,6,
1173386,0,simulated-sound,,
1544736,0,first-quarter,2,
1173192,0,simulated-sound,,
1173508,0,first-quarter,6,
1173112,0,first-quarter,1,
1172934,0,first-peal,1,
1173087,0,first-quarter,1,
1172875,0,first-quarter,1,
1173352,0,first-quarter,1,
1174823,0,first-quarter,1,
1172888,0,first-quarter,1,
1172654,0,first-quarter,1,
1172862,0,first-peal,1,
1172634,0,first-quarter,1,
1172639,0,first-quarter,6,
1172476,0,first-quarter,6,
1172415,0,simulated-sound,,
1172462,0,first-peal,2,
1172464,0,first-quarter,6,
1209387,0,first-peal,6,
1172163,0,first-quarter,6,
1172217,0,first-quarter,1,
1172242,0,first-quarter,1,
1172082,0,first-quarter,6,
1172048,0,first-quarter,1,
1172039,0,first-quarter,1,
1172116,0,first-quarter,1,
1172022,0,first-quarter,1,
1172022,1,first-quarter,6,
1172010,0,first-peal,1,
1171961,0,first-quarter,1,
1171961,1,first-quarter,8,
1171821,0,first-quarter,6,
1171524,0,first-quarter,6,
1171524,1,first-quarter,7,
1171524,2,first-quarter,8,
1171686,0,first-quarter,6,
1967961,0,first-quarter,2,
1967961,1,first-quarter,6,
1171829,0,first-quarter,1,
1753038,0,first-quarter,1,
1753038,1,first-quarter,6,
1171088,0,first-quarter,2,
1171619,0,new-method,,
1170930,0,first-peal,8,
1170954,0,first-quarter,1,
1170936,0,first-quarter,1,
1178632,0,first-peal,2,
