perf_id,position,footnote
274258,0,"Rung on the 450th anniversary of John Roysse's endowment of Abingdon School in 1563 by a band made up of two pupils, two teachers, and two current parents of the school. First as conductor."
1149908,0,"1st in method 2,4 & 6. 1st in method on tower bells 3 & 5."
1149908,1,Arranged and rung in memory of Roger Bailey.
1144642,0,"Rung to celebrate the birth of Charlotte Amy Blackall, second granddaughter of the ringer of 2"
1140171,0,A birthday compliment to the ringer of the Tenor.
1142646,0,25th quarter peal as conductor
1143065,0,"Rung in thanksgiving for the life of Mary Kirkman (mother of the Rev. Trevor and Anita Kirkman of Plumtree), who died yesterday."
1143065,1,First of Surprise Major on an inside pair 3-4.
1209153,0,The sixth peal in the Stedman Triples 'Landmarks Suite'.
1056221,0,2/4
274289,0,50th QP 2nd ringer. For Candlemas
383014,0,Specially arranged and rung to congratulate Tom Freeston on being given a Civic Award for “Service to the Community” by Boston Borough Council. This was awarded for his long and loyal service as Bell Ringing Captain at St Botolph’s (Boston Stump) and for services to bell ringing across the district. This will be awarded at a special ceremony on 18th April.
383014,1,"Tom has been Bell Ringing Captain at Boston Stump for 41 years, standing down at the end of last year, and has been ringing at the Stump for 66 years. He has also been President of the Eastern Branch of the Lincoln Diocesan Guild standing down last week at the AGM. Congratulation’s Tom, you deserve it! Especially for climbing the 209 steps up the Stump each week!"
383014,2,"Rung also to congratulate Tom Palmer, local ringer on the birth of his third great grandchild in the early hours of this morning. The band wish to associate Tom Palmer with this quarter. Tom sat in the tower throughout the quarter peal."
1054523,0,On the day of the installation of Revd. Jacqui Hyde as Associate Minister to the South Cheltenham Team Ministry with special responsibility for TCiWH.
1140552,0,2700th quarter for Valerie.
1140552,1,First in Method for Simon.
1140552,2,3/4
1105026,0,Arranged and rung as a 90th birthday compliment to Miss Nora Sly (cousin in law of the conductor) a life long worshipper at this Church and Churchwarden for many years.Four new pinnacles have recently been added to the tower roof her face being carved on the one on the South East corner.
274224,0,First double-handling: 1-2
274224,1,First of Doubles: 3
274224,2,"Rung to celebrate the 75th birthday of Beatrix, Queen of The Netherlands."
