perf_id,position,label,subject_type,notes
1767734,0,compliment,person,"Personal congratulations, birth of child, farewell, get-well wishes, or personal compliment"
1446405,0,memorial,person,Memorial tribute or muffled ringing
1283574,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1546140,0,funeral,person,"Funeral, committal or thanksgiving for life service"
1126501,0,birthday,person,Birthday milestone or celebration
1145072,2,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
377603,0,memorial,person,Memorial tribute or muffled ringing
1112952,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1631238,0,civic,person,"Royal, national, civic, or military commemoration"
1537776,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1552941,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1083608,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1112102,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1744117,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1187912,0,anniversary,bells,"Anniversary of bell installation/casting, guild, or dedication"
1623910,0,civic,person,"Royal, national, civic, or military commemoration"
1140546,0,funeral,person,"Funeral, committal or thanksgiving for life service"
1005349,38,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1905635,0,compliment,person,"Personal congratulations, birth of child, farewell, get-well wishes, or personal compliment"
1661588,1,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1623601,1,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1302048,0,seasonal,institution,"Church calendar service, festival, or liturgical feast"
1282998,1,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1214341,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1052939,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1517129,2,memorial,person,Memorial tribute or muffled ringing
1056949,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1706134,1,seasonal,institution,"Church calendar service, festival, or liturgical feast"
1619002,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1255031,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1546354,0,funeral,person,"Funeral, committal or thanksgiving for life service"
1326126,0,birthday,person,Birthday milestone or celebration
1105162,0,memorial,person,Memorial tribute or muffled ringing
1497633,0,practice,institution,"Guild ringing week, festival, course, or striking competition"
1125664,2,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1660651,1,multiple,person,Multiple occasions mentioned (e.g. Memorial + Event/First)
1187700,1,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1668346,2,memorial,person,Memorial tribute or muffled ringing
1314435,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1132064,0,seasonal,none,"Church calendar service, festival, or liturgical feast"
1096009,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
984471,0,seasonal,none,"Church calendar service, festival, or liturgical feast"
1250924,1,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1648532,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1160772,0,memorial,person,Memorial tribute or muffled ringing
1156400,1,compliment,person,"Personal congratulations, birth of child, farewell, get-well wishes, or personal compliment"
1229051,0,seasonal,none,"Church calendar service, festival, or liturgical feast"
1238056,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1763639,0,multiple,person,Multiple occasions mentioned (e.g. Memorial + Event/First)
1475552,2,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1396595,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1193959,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1159460,0,seasonal,none,"Church calendar service, festival, or liturgical feast"
982229,1,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1137210,0,funeral,person,"Funeral, committal or thanksgiving for life service"
1165479,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1803531,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1140032,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1910296,0,practice,institution,"Guild ringing week, festival, course, or striking competition"
289590,0,practice,institution,"Guild ringing week, festival, course, or striking competition"
1300492,1,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1180526,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1282075,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1295256,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1743035,0,civic,person,Civic / historic national milestone anniversary
1708915,1,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1624313,0,civic,person,"Royal, national, civic, or military commemoration"
1259073,7,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1032758,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1734202,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1158367,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1128247,2,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1073555,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1785276,0,anniversary,person,"Anniversary of bell installation/casting, guild, or dedication"
1153887,1,funeral,person,"Funeral, committal or thanksgiving for life service"
1283946,0,seasonal,none,"Church calendar service, festival, or liturgical feast"
1316547,1,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1092481,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1756145,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1165957,1,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1646631,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1702014,1,wedding,person,Wedding celebration or blessing
1432605,0,memorial,person,Memorial tribute or muffled ringing
1092073,0,anniversary,person,"Anniversary of bell installation/casting, guild, or dedication"
1530687,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
384761,1,compliment,person,"Personal congratulations, birth of child, farewell, get-well wishes, or personal compliment"
1697889,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1806115,1,memorial,person,Memorial tribute or muffled ringing
1092037,2,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1130293,2,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1961748,0,birthday,person,Birthday milestone or celebration
1126457,8,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1408808,1,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1336545,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1409980,1,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1436926,0,funeral,person,"Funeral, committal or thanksgiving for life service"
1670531,0,civic,person,"Royal, national, civic, or military commemoration"
1683381,0,seasonal,none,"Church calendar service, festival, or liturgical feast"
1026442,0,birthday,person,Birthday milestone or celebration
1795266,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1776505,1,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1004857,0,wedding,person,Wedding celebration or blessing
1393945,3,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1259547,1,memorial,person,Memorial tribute or muffled ringing
993742,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1775047,0,practice,institution,"Guild ringing week, festival, course, or striking competition"
287970,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1395176,1,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1572699,0,seasonal,none,"Church calendar service, festival, or liturgical feast"
1039724,0,funeral,person,"Funeral, committal or thanksgiving for life service"
1494589,0,seasonal,none,"Church calendar service, festival, or liturgical feast"
1588107,0,anniversary,person,"Anniversary of bell installation/casting, guild, or dedication"
1479785,2,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1681412,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1743164,0,civic,person,Civic / historic national milestone anniversary
1165464,1,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1658789,1,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1626330,0,civic,person,"Royal, national, civic, or military commemoration"
1121708,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1524602,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1143294,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1560048,0,memorial,person,Memorial tribute or muffled ringing
1011117,1,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1749075,2,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1025931,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1385769,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1070676,1,funeral,person,"Funeral, committal or thanksgiving for life service"
1110724,1,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1554823,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1509139,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1459541,1,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
