child_method_id,child_title,child_stage,parent_method_id,parent_title,parent_stage,family_name,relationship,confidence,evidence
m32444,20th Birthday Bob Triples,7,m60357,20th Birthday Treble Place Singles,3,20th Birthday,name_only,high,Different classifications (Treble Place vs Bob)
m46632,60th Birthday Delight Major,8,m27377,60th Birthday Treble Place Minor,6,60th Birthday,name_only,high,Different classifications (Treble Place vs Delight)
m16837,70th Birthday Surprise Major,8,m42298,70th Birthday Place Minor,6,70th Birthday,name_only,high,Different classifications (Place vs Surprise)
m24794,70th Birthday Delight Major,8,m42298,70th Birthday Place Minor,6,70th Birthday,name_only,high,Different classifications (Place vs Delight)
m52247,70th Birthday Alliance Major,8,m42298,70th Birthday Place Minor,6,70th Birthday,name_only,high,Different classifications (Place vs Alliance)
m24796,80th Birthday Delight Major,8,m35486,80th Birthday Surprise Minor,6,80th Birthday,name_only,high,Incompatible hunt count (2 vs 1)
m30400,90th Birthday Bob Triples,7,m27612,90th Birthday Treble Place Minor,6,90th Birthday,name_only,high,Different classifications (Treble Place vs Bob)
m16839,90th Birthday Surprise Major,8,m27612,90th Birthday Treble Place Minor,6,90th Birthday,name_only,high,Different classifications (Treble Place vs Surprise)
m30165,90th Birthday Delight Major,8,m27612,90th Birthday Treble Place Minor,6,90th Birthday,name_only,high,Different classifications (Treble Place vs Delight)
m16839,90th Birthday Surprise Major,8,m30400,90th Birthday Bob Triples,7,90th Birthday,name_only,high,Different classifications (Bob vs Surprise)
m30165,90th Birthday Delight Major,8,m30400,90th Birthday Bob Triples,7,90th Birthday,name_only,high,Different classifications (Bob vs Delight)
m25583,A' Chailleach Delight Royal,10,m40586,A' Chailleach Minimus,4,A' Chailleach,name_only,high,Different classifications (Hybrid vs Delight)
m14482,A' Chralaig Surprise Minor,6,m40587,A' Chralaig Minimus,4,A' Chralaig,name_only,high,Different classifications (Hybrid vs Surprise)
m10360,AC/DC Delight Major,8,m23444,AC/DC Delight Minor,6,AC/DC,extension,high,"Preserved front work (62%), valid lead progression (24->32), matching Delight"
m17237,ANZAC Surprise Major,8,m26725,ANZAC Alliance Minor,6,ANZAC,name_only,high,Different classifications (Alliance vs Surprise)
m17237,ANZAC Surprise Major,8,m29405,ANZAC Delight Minor,6,ANZAC,variant,medium,"Partial structural overlap (58% front work), altered lead progression"
m29309,Abbots Leigh Delight Major,8,m14814,Abbots Leigh Surprise Minor,6,Abbots Leigh,variant,medium,Cross-class structural variant (Surprise->Delight) with 46% front work alignment
m16829,Abbots Ripton Surprise Major,8,m11603,Abbots Ripton Bob Minor,6,Abbots Ripton,name_only,high,Different classifications (Bob vs Surprise)
m13047,Abertawe Bob Major,8,m11552,Abertawe Bob Minor,6,Abertawe,extension,high,"Preserved front work (67%), valid lead progression (12->16), matching Bob"
m22013,Abingdon Surprise Royal,10,m12674,Abingdon Bob Major,8,Abingdon,name_only,high,Different classifications (Bob vs Surprise)
m36688,Abingdon Bob Royal,10,m12674,Abingdon Bob Major,8,Abingdon,extension,high,"Preserved front work (69%), valid lead progression (16->20), matching Bob"
m18067,Abington Surprise Major,8,m10735,Abington Bob Doubles,5,Abington,name_only,high,Different classifications (Bob vs Surprise)
m19641,Abthorpe Surprise Major,8,m10939,Abthorpe Bob Doubles,5,Abthorpe,name_only,high,Different classifications (Bob vs Surprise)
m19641,Abthorpe Surprise Major,8,m27858,Abthorpe Doubles,5,Abthorpe,name_only,high,Different classifications (Principle vs Surprise)
m13816,Accrington Bob Caters,9,m16539,Accrington Surprise Major,8,Accrington,name_only,high,Different classifications (Surprise vs Bob)
m13816,Accrington Bob Caters,9,m25045,Accrington Delight Major,8,Accrington,name_only,high,Different classifications (Delight vs Bob)
m17122,Achilles Surprise Major,8,m10072,Achilles Bob Triples,7,Achilles,name_only,high,Different classifications (Bob vs Surprise)
m18936,Achurch Surprise Major,8,m10788,Achurch Bob Doubles,5,Achurch,name_only,high,Different classifications (Bob vs Surprise)
m19096,Actinium Surprise Major,8,m23712,Actinium Delight Minor,6,Actinium,variant,medium,Cross-class structural variant (Delight->Surprise) with 54% front work alignment
m16023,Acton Town Surprise Major,8,m11975,Acton Town Bob Minor,6,Acton Town,name_only,high,Different classifications (Bob vs Surprise)
m16486,Adbaston Surprise Major,8,m31942,Adbaston Alliance Minimus,4,Adbaston,name_only,high,Different classifications (Alliance vs Surprise)
m16935,Adderbury Surprise Major,8,m27582,Adderbury Treble Place Minor,6,Adderbury,name_only,high,Different classifications (Treble Place vs Surprise)
m25641,Adderbury Delight Royal,10,m27582,Adderbury Treble Place Minor,6,Adderbury,name_only,high,Different classifications (Treble Place vs Delight)
m25641,Adderbury Delight Royal,10,m16935,Adderbury Surprise Major,8,Adderbury,variant,medium,Cross-class structural variant (Surprise->Delight) with 75% front work alignment
m36676,Adlington Bob Royal,10,m19205,Adlington Surprise Major,8,Adlington,name_only,high,Different classifications (Surprise vs Bob)
m14103,Adlington Bob Cinques,11,m19205,Adlington Surprise Major,8,Adlington,name_only,high,Different classifications (Surprise vs Bob)
m14103,Adlington Bob Cinques,11,m36676,Adlington Bob Royal,10,Adlington,name_only,high,Dissimilar notation (0% front work) despite shared name
m27138,Adrastea Little Alliance Maximus,12,m17508,Adrastea Surprise Major,8,Adrastea,name_only,high,Different classifications (Surprise vs Alliance)
m18922,Air Surprise Major,8,m23704,Air Delight Minor,6,Air,variant,medium,"Partial structural overlap (42% front work), altered lead progression"
m10324,Ajax Surprise Major,8,m10062,Ajax Bob Triples,7,Ajax,name_only,high,Different classifications (Bob vs Surprise)
m24474,Alamein Delight Major,8,m15151,Alamein Surprise Minor,6,Alamein,variant,low,Weak notation alignment (29% front work); likely independent construction
m22781,Albanian Surprise Maximus,12,m21471,Albanian Surprise Royal,10,Albanian,extension,high,"Preserved front work (75%), valid lead progression (40->48), matching Surprise"
m31769,Albanian Surprise Fourteen,14,m21471,Albanian Surprise Royal,10,Albanian,extension,high,"Preserved front work (75%), valid lead progression (40->56), matching Surprise"
m31769,Albanian Surprise Fourteen,14,m22781,Albanian Surprise Maximus,12,Albanian,extension,high,"Preserved front work (79%), valid lead progression (48->56), matching Surprise"
m52679,Albany Little Treble Place Major,8,m14594,Albany Surprise Minor,6,Albany,name_only,high,Different classifications (Surprise vs Treble Place)
m12390,Albatross Bob Triples,7,m26245,Albatross Treble Bob Minor,6,Albatross,name_only,high,Different classifications (Treble Bob vs Bob)
m26385,Albion Treble Bob Major,8,m25966,Albion Treble Bob Minor,6,Albion,variant,medium,"Partial structural overlap (42% front work), altered lead progression"
m26403,Albion Little Treble Bob Major,8,m25966,Albion Treble Bob Minor,6,Albion,variant,low,Weak notation alignment (62% front work); likely independent construction
m26414,Albion Treble Bob Royal,10,m25966,Albion Treble Bob Minor,6,Albion,variant,medium,"Partial structural overlap (42% front work), altered lead progression"
m26417,Albion Little Treble Bob Royal,10,m25966,Albion Treble Bob Minor,6,Albion,variant,low,Weak notation alignment (62% front work); likely independent construction
m26423,Albion Treble Bob Maximus,12,m25966,Albion Treble Bob Minor,6,Albion,variant,medium,"Partial structural overlap (42% front work), altered lead progression"
m26427,Albion Little Treble Bob Maximus,12,m25966,Albion Treble Bob Minor,6,Albion,variant,low,Weak notation alignment (62% front work); likely independent construction
m26414,Albion Treble Bob Royal,10,m26385,Albion Treble Bob Major,8,Albion,extension,high,"Preserved front work (84%), valid lead progression (32->40), matching Treble Bob"
m26417,Albion Little Treble Bob Royal,10,m26385,Albion Treble Bob Major,8,Albion,variant,low,Weak notation alignment (62% front work); likely independent construction
m26423,Albion Treble Bob Maximus,12,m26385,Albion Treble Bob Major,8,Albion,extension,high,"Preserved front work (84%), valid lead progression (32->48), matching Treble Bob"
m26427,Albion Little Treble Bob Maximus,12,m26385,Albion Treble Bob Major,8,Albion,variant,low,Weak notation alignment (62% front work); likely independent construction
m26414,Albion Treble Bob Royal,10,m26403,Albion Little Treble Bob Major,8,Albion,variant,low,Weak notation alignment (62% front work); likely independent construction
m26417,Albion Little Treble Bob Royal,10,m26403,Albion Little Treble Bob Major,8,Albion,extension,high,"Preserved front work (100%), valid lead progression (16->16), matching Treble Bob"
m26423,Albion Treble Bob Maximus,12,m26403,Albion Little Treble Bob Major,8,Albion,variant,low,Weak notation alignment (62% front work); likely independent construction
m26427,Albion Little Treble Bob Maximus,12,m26403,Albion Little Treble Bob Major,8,Albion,extension,high,"Preserved front work (100%), valid lead progression (16->16), matching Treble Bob"
m26423,Albion Treble Bob Maximus,12,m26414,Albion Treble Bob Royal,10,Albion,extension,high,"Preserved front work (88%), valid lead progression (40->48), matching Treble Bob"
m26427,Albion Little Treble Bob Maximus,12,m26414,Albion Treble Bob Royal,10,Albion,variant,low,Weak notation alignment (62% front work); likely independent construction
m26423,Albion Treble Bob Maximus,12,m26417,Albion Little Treble Bob Royal,10,Albion,variant,low,Weak notation alignment (62% front work); likely independent construction
m26427,Albion Little Treble Bob Maximus,12,m26417,Albion Little Treble Bob Royal,10,Albion,extension,high,"Preserved front work (100%), valid lead progression (16->16), matching Treble Bob"
m29067,Albion Delight Bob Triples,7,m11122,Albion Delight Bob Minor,6,Albion Delight,name_only,high,Dissimilar notation (17% front work) despite shared name
m13867,Alburgh Bob Caters,9,m12784,Alburgh Bob Major,8,Alburgh,name_only,high,Dissimilar notation (0% front work) despite shared name
m19907,Albury Surprise Major,8,m26510,Albury Alliance Minor,6,Albury,name_only,high,Different classifications (Alliance vs Surprise)
m17831,Aldbourne Surprise Major,8,m12345,Aldbourne Bob Triples,7,Aldbourne,name_only,high,Different classifications (Bob vs Surprise)
