building,town,county,occurrences,candidate_tower_id,candidate_confidence,decision,decision_reason
,Kington & Presteigne,Herefordshire & Powys,812,13373,medium,reject,"adjudicated: composite two-tower event, not attributable to one tower"
,Ringing Room,UK,581,,none,reject,resolver found no tower
Holy Trinity,Stow Bardolph,Norfolk,562,12914,high,accept,"high confidence, verified sample and dedication tokens"
12 Victoria Street,Cambridge,Cambridgeshire,557,,none,reject,resolver found no tower
S Andrew the Great,Cambridge,,496,15139,high,accept,"high confidence, verified sample and dedication tokens"
2 Pretyman Avenue,Bacton,Suffolk,460,,none,reject,resolver found no tower
23 Gilpin Green,Harpenden,Hertfordshire,428,,none,reject,resolver found no tower
Bellfoundry,Loughborough,,329,10191,high,accept,"high confidence, verified sample and dedication tokens"
,Meldreth,,328,16937,high,accept,"high confidence, verified sample and dedication tokens"
St Bartholomew,Sproxton,Leicestershire,295,11573,high,accept,"high confidence, verified sample and dedication tokens"
,Stratton St Margaret,Wiltshire,269,12307,high,accept,"high confidence, verified sample and dedication tokens"
Sacred Trinity,Salford,,260,13054,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Huntsham,Devon,217,14870,high,accept,"high confidence, verified sample and dedication tokens"
Vale View Cottages,Batheaston,Somerset,209,,none,reject,resolver found no tower
23 Albany Road,St Leonards on Sea,Sussex,200,,none,reject,resolver found no tower
Reynards,Heathfield,Sussex,196,,none,reject,resolver found no tower
St Peter,Saltby,Leicestershire,194,12864,high,accept,"high confidence, verified sample and dedication tokens"
Christ Church,Claremont,Western Australia,190,11687,high,accept,"high confidence, verified sample and dedication tokens"
,Barrow Gurney,,189,13023,high,accept,"high confidence, verified sample and dedication tokens"
St Margaret,Great Barr,West Midlands,180,12494,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Beetley,Norfolk,168,14067,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Willesden,Middlesex,162,14613,high,accept,"high confidence, verified sample and dedication tokens"
St John,Coppull,Lancashire,157,11331,high,accept,"high confidence, verified sample and dedication tokens"
NB Thistle,Wootton Wawen,Warwickshire,146,,none,reject,resolver found no tower
St John the Baptist,Great Amwell,Hertfordshire,141,16992,high,accept,"high confidence, verified sample and dedication tokens"
