building,town,county,occurrences,dove_tower_id,confidence,alternatives,reasoning
,Kington & Presteigne,Herefordshire & Powys,812,13373,medium,14991,Dual tower festival/circuit across Kington (Herefordshire 13373) and Presteigne (Powys 14991)
,Ringing Room,UK,581,,none,,Virtual ringing platform or dispersed locations
Holy Trinity,Stow Bardolph,Norfolk,562,12914,high,,Unique tower in Stow Bardolph; dedication 'Holy Trinity' matches 'Holy Trinity'
12 Victoria Street,Cambridge,Cambridgeshire,557,,none,,Private residence address (handbell ring)
S Andrew the Great,Cambridge,,496,15139,high,12645;16664;14964;17550;13803;13748;10395;18933;18934;25479,Resolved dedication 'S Andrew Gt' (Cambridge) among 28 towers in town
2 Pretyman Avenue,Bacton,Suffolk,460,,none,,Private residence address (handbell ring)
23 Gilpin Green,Harpenden,Hertfordshire,428,,none,,Private residence address (handbell ring)
Bellfoundry,Loughborough,,329,10191,high,16752;21820;21821;21822;17781,Resolved dedication 'Bell Foundry Tower' (Loughborough) among 6 towers in town
,Meldreth,,328,16937,high,,Unique tower in Meldreth (Cambridgeshire); building unspecified in source
St Bartholomew,Sproxton,Leicestershire,295,11573,high,,Unique tower in Sproxton; dedication 'S Bartholomew' matches 'St Bartholomew'
,Stratton St Margaret,Wiltshire,269,12307,high,,Unique tower in Stratton St Margaret (Wiltshire); building unspecified in source
Sacred Trinity,Salford,,260,13054,high,13908;23147;23149,Resolved dedication 'Sacred Trinity' (Salford) among 4 towers in town
All Saints,Huntsham,Devon,217,14870,high,,Unique tower in Huntsham; dedication 'All Saints' matches 'All Saints'
Vale View Cottages,Batheaston,Somerset,209,,none,,Private residence name (handbell ring)
23 Albany Road,St Leonards on Sea,Sussex,200,,none,,Private residence address (handbell ring)
Reynards,Heathfield,Sussex,196,,none,,Private domestic mini-ring or residence (handbell ring)
St Peter,Saltby,Leicestershire,194,12864,high,,Unique tower in Saltby; dedication 'S Peter' matches 'St Peter'
Christ Church,Claremont,Western Australia,190,11687,high,,Unique tower in Claremont; dedication 'Christ Church' matches 'Christ Church'
,Barrow Gurney,,189,13023,high,,Unique tower in Barrow Gurney (Somerset); building unspecified in source
St Margaret,Great Barr,West Midlands,180,12494,high,25218,Resolved dedication 'S Margaret' (Great Barr) among 2 towers in town
St Mary,Beetley,Norfolk,168,14067,high,,Unique tower in Beetley; dedication 'S Mary' matches 'St Mary'
St Mary,Willesden,Middlesex,162,14613,high,24812;24813,Resolved dedication 'S Mary' (Willesden) among 3 towers in town
St John,Coppull,Lancashire,157,11331,high,19358,Resolved dedication 'S John' (Coppull) among 2 towers in town
NB Thistle,Wootton Wawen,Warwickshire,146,,none,,Vessel / narrowboat (mobile mini-ring or handbell)
St John the Baptist,Great Amwell,Hertfordshire,141,16992,high,,Unique tower in Great Amwell; dedication 'S John Bapt' matches 'St John the Baptist'
St Margaret of Antioch,Stratton St Margaret,Wiltshire,135,12307,high,,Unique tower in Stratton St Margaret; dedication 'S Margaret of Antioch' matches 'St Margaret of Antioch'
Bell Foundry Tower,Loughborough,Leicestershire,130,10191,high,16752;21820;21821;21822;17781,Resolved dedication 'Bell Foundry Tower' (Loughborough) among 6 towers in town
St Peter,Burnley,Lancashire,128,14659,high,18823;18817;18818;18819;18820;18821;18822,Resolved dedication 'S Peter' (Burnley) among 8 towers in town
"Apartment 20, 66 Graham Street",Birmingham,West Midlands,127,,none,,Private residence name (handbell ring)
St Thomas of Canterbury,Thorverton,Devon,122,16860,high,,Unique tower in Thorverton; dedication 'S Thomas of Canterbury' matches 'St Thomas of Canterbury'
St Laurence,Reading,Berkshire,114,10597,high,16811;16674;22958;22959;22960;17427;25652;25109;22962;22963,Resolved dedication 'S Laurence' (Reading) among 13 towers in town
"Christ Church, Dore",Sheffield,South Yorkshire,111,15539,high,,"Resolved via parish in building 'Dore' (Dore, Christ Church)"
All Saints,Trysull,Staffordshire,108,14642,high,,Unique tower in Trysull; dedication 'All Saints' matches 'All Saints'
14 Paget Place,Newmarket,Suffolk,103,,none,,Private residence address (handbell ring)
26 Redlands Road,Reading,Berkshire,101,,none,,Private residence address (handbell ring)
St Matthew,Walsall,,101,15867,high,24394;24395,Resolved dedication 'S Matthew' (Walsall) among 3 towers in town
St James,Bushey,Hertfordshire,99,13627,high,18871,Resolved dedication 'S James' (Bushey) among 2 towers in town
St Margaret,Hinton Waldrist,Oxfordshire,98,16613,high,,Unique tower in Hinton Waldrist; dedication 'S Margaret' matches 'St Margaret'
Holy Trinity,Rothwell,Northamptonshire,96,16897,high,,Unique tower in Rothwell; dedication 'Holy Trinity' matches 'Holy Trinity'
Blessed Virgin Mary and St Edward King and Martyr,Barrow Gurney,Somerset,95,13023,high,,Unique tower in Barrow Gurney; dedication 'Blessed Virgin Mary & S Edward K&M' matches 'Blessed Virgin Mary and St Edward King and Martyr'
Holy Trinity,Meldreth,Cambridgeshire,93,16937,high,,Unique tower in Meldreth; dedication 'Holy Trinity' matches 'Holy Trinity'
Cathedral Church of St Philip,Birmingham,West Midlands,90,15513,high,13032;14891;12955;25526;25540;25808,Resolved dedication 'Cath Ch of S Philip' (Birmingham) among 7 towers in town
SS Peter and Paul,Eye,Herefordshire,85,15447,high,,Unique tower in Eye; dedication 'S Peter & S Paul' matches 'SS Peter and Paul'
Christ Church (Churchyard),Fairwarp,East Sussex,85,16191,high,,Unique tower in Fairwarp; dedication 'Christ Church' matches 'Christ Church (Churchyard)'
131 Shawclough Way,Rochdale,Lancashire,81,,none,,Private residence address (handbell ring)
,Heywood,,80,10893,medium,20854;20855,Partial dedication match for 'S Luke' among 3 towers in town
St Leonard,Shoreditch,Middlesex,80,11847,high,,Unique tower in Shoreditch; dedication 'S Leonard' matches 'St Leonard'
St Nicholas,Grosmont,Monmouthshire,79,11026,high,,Unique tower in Grosmont; dedication 'S Nicholas' matches 'St Nicholas'
St Denys,Stanford Dingley,Berkshire,77,13000,high,,Unique tower in Stanford Dingley; dedication 'S Denys' matches 'St Denys'
Fairlight Ring,Baunton,Gloucestershire,77,25194,high,18194,Resolved dedication 'Fairlight Ring' (Baunton) among 2 towers in town
"Lyndhurst, 5 Copley Lane, Robin Hood",Wakefield,Yorkshire,76,,none,,Private residence name (handbell ring)
St Paul,Fulney,Lincolnshire,75,10977,high,,Unique tower in Fulney; dedication 'S Paul' matches 'St Paul'
,Moulton,Northants,75,13208,high,,Unique tower in Moulton (Northamptonshire); building unspecified in source
St Thomas the Martyr,Oxford,Oxfordshire,74,11759,high,14542;10172;11850;12299;11203;16203;13271;13903;10326;10578,Resolved dedication 'S Thomas M' (Oxford) among 26 towers in town
St George in the East,Stepney,Greater London,74,17069,high,14988;23768;25672,Resolved dedication 'S George in the East' (Stepney) among 4 towers in town
St Mary,East Ilsley,Berkshire,74,10316,high,,Unique tower in East Ilsley; dedication 'S Mary' matches 'St Mary'
,Daventry,,73,14260,high,,Unique tower in Daventry (Northamptonshire); building unspecified in source
Pig-le-Tower,Marston Bigot,Somerset,72,,none,,Private domestic mini-ring or residence (handbell ring)
St James the Apostle,Bushey,Hertfordshire,72,13627,high,18871,Resolved dedication 'S James' (Bushey) among 2 towers in town
St Martin,Birmingham,West Midlands,71,14891,high,13032;15513;12955;25526;25540;25808,Resolved dedication 'S Martin' (Birmingham) among 7 towers in town
,Burton Latimer,,71,12365,high,,Unique tower in Burton Latimer (Northamptonshire); building unspecified in source
All Saints,Barrowby,Lincolnshire,69,12968,high,,Unique tower in Barrowby; dedication 'All Saints' matches 'All Saints'
,Southampton,,69,13796,medium,10453;13354;11712;20881;25539;23552;25687;23549;23550;25418,Partial dedication match for 'S Barnabas' among 12 towers in town
"Mor Awelon, Lon Derw",Tycoch,Swansea,68,,none,,Private domestic mini-ring or residence (handbell ring)
St Mary,Harkstead,Suffolk,67,14259,high,,Unique tower in Harkstead; dedication 'S Mary' matches 'St Mary'
St Leonard,Shoreditch,Greater London,67,11847,high,,Unique tower in Shoreditch; dedication 'S Leonard' matches 'St Leonard'
,Birstall,Yorks,65,13433,high,,Unique tower in Birstall (West Yorkshire); building unspecified in source
St George and St Mary,Church Gresley,Derbyshire,64,12511,high,,Unique tower in Church Gresley; dedication 'S George & S Mary' matches 'St George and St Mary'
St Blaise,Milton,Oxfordshire,64,15970,high,22127,Resolved dedication 'S Blaise' (Milton) among 2 towers in town
,Easton Neston,,60,14582,high,,Unique tower in Easton Neston (Northamptonshire); building unspecified in source
Cathedral,Birmingham,,59,16786,high,13032;15513;14891;12955;25526;25540;25808,Resolved dedication 'Cath Ch of S Paul' (Birmingham) among 8 towers in town
St Michael Archangel,Warfield,Berkshire,59,14430,high,,Unique tower in Warfield; dedication 'S Michael Archangel' matches 'St Michael Archangel'
St Michael,Haselbech,Northamptonshire,57,15424,high,,Unique tower in Haselbech; dedication 'S Michael' matches 'St Michael'
Cathedral Church of St Martin,Leicester,Leicestershire,57,12250,high,10495;13828;21538;21539;21540;21541;21542;21544;21545;21546,Resolved dedication 'Cath Ch of S Martin' (Leicester) among 15 towers in town
St John the Baptist,Hannington,Wiltshire,56,11536,high,,Unique tower in Hannington; dedication 'S John Bapt' matches 'St John the Baptist'
Bishops-Ting-Tong,Bishopsteignton,Devon,56,25195,high,11343,Resolved dedication 'Bishops-Ting-Tong' (Bishopsteignton) among 2 towers in town
"St Laurence, Hull Road",York,,56,16125,high,11340;13714;16004;11426;15985;13479;12165;10509;11836;10444,Resolved dedication 'S Lawrence' (York) among 24 towers in town
Christ Church with St Ewen,Bristol,Bristol,56,15455,high,10300;10331;14342;11615;14422;12166;15180;12993;12039;16354,Resolved dedication 'Christ Church' (Bristol) among 17 towers in town
Cathedral Church of St Paul,Wellington,New Zealand,55,10533,high,13770;16362,Resolved dedication 'Cath Ch of S Paul' (Wellington) among 3 towers in town
St Lawrence,Hungerford,Berkshire,55,11892,high,,Unique tower in Hungerford; dedication 'S Lawrence' matches 'St Lawrence'
St George,Ticknall,Derbyshire,54,15214,high,,Unique tower in Ticknall; dedication 'S George' matches 'St George'
St Edmund King and Martyr,Holme Pierrepont,Nottinghamshire,53,11290,high,,Unique tower in Holme Pierrepont; dedication 'S Edmund K&M' matches 'St Edmund King and Martyr'
,Thatcham,,53,15128,high,,Unique tower in Thatcham (Berkshire); building unspecified in source
Christ Church,Spitalfields,Greater London,52,13840,high,,Unique tower in Spitalfields; dedication 'Christ Church' matches 'Christ Church'
,South Wigston,,52,11096,high,,Unique tower in South Wigston (Leicestershire); building unspecified in source
,Barrow-on-Soar,Leics,52,14755,high,,Unique tower in Barrow upon Soar (Leicestershire); building unspecified in source
All Saints,Maidstone,Kent,50,11883,high,12644;21917;21918;21919;21920;21921;21922,Resolved dedication 'All Saints' (Maidstone) among 8 towers in town
St Peter,Derby,Derbyshire,48,10354,high,16607;16699;19605;19606;19609;19610;19611;19613,Resolved dedication 'S Peter' (Derby) among 9 towers in town
St Mary and All Saints,Willingham,Cambridgeshire,48,16597,high,25261,Resolved dedication 'S Mary & All Saints' (Willingham) among 2 towers in town
