domain,raw_term,canonical_term,category,evidence_count,source_examples,notes
dedication,All Saints,All Saints,verbatim,2295,Dove: Acton; Dove: Alburgh,Standard dedication
dedication,S Mary,Saint Mary,abbreviation_expansion,2030,Dove: Abbey Dore; Dove: Abbotts Ann,S -> Saint
dedication,S Peter,Saint Peter,abbreviation_expansion,1383,Dove: Adderley; Dove: Addingham,S -> Saint
dedication,S Mary V,Saint Mary the Virgin,abbreviation_expansion,1133,Dove: Aldermaston; Dove: Aldingbourne,Qualifier expanded: \bS Mary V\b -> Saint Mary the Virgin
dedication,S Andrew,Saint Andrew,abbreviation_expansion,1036,Dove: Abbots Ripton; Dove: Adelaide,S -> Saint
dedication,S John Bapt,Saint John the Baptist,abbreviation_expansion,853,Dove: Achurch; Dove: Aldbury,Qualifier expanded: \bS John Bapt\b -> Saint John the Baptist
dedication,Holy Trinity,Holy Trinity,verbatim,782,Dove: Abbots Leigh; Dove: Amblecote,Standard dedication
dedication,S Nicholas,Saint Nicholas,abbreviation_expansion,595,Dove: Abbots Bromley; Dove: Abbotsbury,S -> Saint
dedication,S Michael,Saint Michael,abbreviation_expansion,591,Dove: Abenhall; Dove: Abergele,S -> Saint
dedication,S James,Saint James,abbreviation_expansion,535,Dove: Ab Kettleby; Dove: Abbots Bickington,S -> Saint
dedication,S Michael & All Angels,Saint Michael and All Angels,abbreviation_expansion,528,Dove: Adbaston; Dove: Alberbury,S -> Saint
dedication,S Peter & S Paul,Saint Peter and Saint Paul,abbreviation_expansion,509,Dove: Abington; Dove: Albury,S -> Saint
dedication,Christ Church,Christ Church,verbatim,427,Dove: Alsager; Dove: Appleton le Moors,Standard dedication
dedication,St Mary,Saint Mary,abbreviation_expansion,369,Towers: TowerID 23137; MP: Haselor churchyard,St -> Saint
dedication,S Paul,Saint Paul,abbreviation_expansion,332,Dove: Adlington; Dove: Alnwick,S -> Saint
dedication,S Mary Magd,Saint Mary Magdalene,abbreviation_expansion,320,Dove: Adlestrop; Dove: Albrighton,Qualifier expanded: \bS Mary Magd\b -> Saint Mary Magdalene
dedication,S Margaret,Saint Margaret,abbreviation_expansion,318,Dove: Abbotsley; Dove: Acton Scott,S -> Saint
dedication,S John Ev,Saint John the Evangelist,abbreviation_expansion,315,Dove: Alloa; Dove: Banbury,Qualifier expanded: \bS John Ev\b -> Saint John the Evangelist
dedication,S John,Saint John,abbreviation_expansion,289,Dove: Allerston; Dove: Barmouth,S -> Saint
dedication,S George,Saint George,abbreviation_expansion,267,Dove: Anstey; Dove: Arreton,S -> Saint
dedication,S Bartholomew,Saint Bartholomew,abbreviation_expansion,260,Dove: Appleby; Dove: Arborfield,S -> Saint; Spelling standardized: Bartholomew -> Bartholomew
dedication,S Leonard,Saint Leonard,abbreviation_expansion,234,Dove: Aldrington; Dove: Beeford,S -> Saint
dedication,S Giles,Saint Giles,abbreviation_expansion,229,Dove: Alderton; Dove: Ashtead,S -> Saint
dedication,S Martin,Saint Martin,abbreviation_expansion,228,Dove: Aldington; Dove: Alfreton,S -> Saint
dedication,S Lawrence,Saint Lawrence,abbreviation_expansion,222,Dove: Abbots Langley; Dove: Alton,S -> Saint
dedication,St Mary the Virgin,Saint Mary the Virgin,abbreviation_expansion,215,MP: Aldworth; MP: Nether Broughton,St -> Saint
dedication,St Peter,Saint Peter,abbreviation_expansion,196,Towers: TowerID 23665; MP: Lilley,St -> Saint
dedication,S Luke,Saint Luke,abbreviation_expansion,190,Dove: Atlanta; Dove: Brislington,S -> Saint
dedication,Blessed Virgin Mary,Blessed Virgin Mary,verbatim,169,Dove: Abbotskerswell; Dove: Ashill,Standard dedication
dedication,S Thomas,Saint Thomas,abbreviation_expansion,168,Dove: Belfast; Dove: Bradwell on Sea,S -> Saint
dedication,S Mark,Saint Mark,abbreviation_expansion,150,Dove: Amcotts; Dove: Belfast,S -> Saint
dedication,S Matthew,Saint Matthew,abbreviation_expansion,150,Dove: Albury; Dove: Ashford,S -> Saint
dedication,S Helen,Saint Helen,abbreviation_expansion,149,Dove: Abbotsham; Dove: Abingdon,S -> Saint
dedication,Holy Cross,Holy Cross,verbatim,144,Dove: Ashton Keynes; Dove: Avening,Standard dedication
dedication,St John the Baptist,Saint John the Baptist,abbreviation_expansion,141,MP: Cayton; MP: Tunstall,St -> Saint
dedication,S Stephen,Saint Stephen,abbreviation_expansion,137,Dove: Acomb; Dove: Bath,S -> Saint
dedication,St Andrew,Saint Andrew,abbreviation_expansion,132,Towers: TowerID 18690; Towers: TowerID 23611,St -> Saint
dedication,S Laurence,Saint Lawrence,abbreviation_expansion,122,Dove: Adwick le Street; Dove: Appleton,S -> Saint; Spelling standardized: Laurence -> Lawrence
dedication,S Cuthbert,Saint Cuthbert,abbreviation_expansion,121,Dove: Ackworth; Dove: Adelaide,S -> Saint
dedication,S Barnabas,Saint Barnabas,abbreviation_expansion,101,Dove: Bromborough; Dove: Erdington,S -> Saint
dedication,S Oswald,Saint Oswald,abbreviation_expansion,100,Dove: Arncliffe; Dove: Ashbourne,S -> Saint
dedication,S James Gt,Saint James Gt,abbreviation_expansion,97,Dove: Abson; Dove: Antony,S -> Saint
dedication,St Nicholas,Saint Nicholas,abbreviation_expansion,96,Dove: TowerID 10844; Towers: TowerID 10844,St -> Saint
dedication,S Chad,Saint Chad,abbreviation_expansion,89,Dove: Bishop's Tachbrook; Dove: Boningale,S -> Saint
dedication,S Anne,Saint Anne,abbreviation_expansion,86,Dove: Bagshot; Dove: Baslow,S -> Saint
dedication,S Botolph,Saint Botolph,abbreviation_expansion,77,Dove: Aspley Guise; Dove: Barton Seagrave,S -> Saint; Spelling standardized: Botolph -> Botolph
dedication,S Saviour,Saint Saviour,abbreviation_expansion,77,Dove: Arklow; Dove: Bath,S -> Saint
