perf_id,method_text,label
117307,Winchester Doubles,unclassified
119377,Spliced Surprise Maximus,multiple_methods
119426,Yorkshire Surpise Major,unclassified
119435,Spliced Surprise Major,multiple_methods
119508,Doubles,unclassified
119515,Surprise Minor,unclassified
119573,Doubles,unclassified
119626,Treble Bob Minor,unclassified
119652,Kent TB Major,unclassified
119713,Mixed Minor,multiple_methods
119748,Oswald D. Major,unclassified
119749,Minor,unclassified
119765,Spliced Bob Minor,multiple_methods
119771,Stedman Jump Triples,unclassified
119784,Kent TB Major,unclassified
119871,Charnwood TB Minor,unclassified
119872,Doomsday TB Minor,unclassified
119882,Raveningham Slow Course Triples,unclassified
119909,Treble Bob Major,unclassified
119922,Doubles,unclassified
119960,Double Oxford and Plain Bob Minor,multiple_methods
119970,Kent Minor,unclassified
120060,Spliced Surprise Major,multiple_methods
120107,"Cambridge,Yorkshire and Lincolnshire Spliced",multiple_methods
120153,Singles,unclassified
120257,Called Changes Minimus,unclassified
120272,Oxford TB Major,unclassified
120291,Spliced Surprise Maximus,multiple_methods
120352,Surprise Minor,unclassified
120401,Spliced Minor,multiple_methods
120413,Doubles,unclassified
120420,Spliced Surprise Major,multiple_methods
120438,Kent TB Minor,unclassified
120444,Oxford TB Minor,unclassified
120470,Doubles,unclassified
120477,Spliced Surprise Minor,multiple_methods
120502,St Simons Triples,unclassified
120507,Doubles,unclassified
120509,Fifield Doubles,unclassified
120555,Spliced Surprise Major,multiple_methods
120581,Mercaston TP Minor,unclassified
120596,Mixed Doubles,multiple_methods
120694,Treble Dodging Minor,unclassified
120791,Spliced Surprise Major,multiple_methods
120869,Surprise Minor,unclassified
120909,Spliced Surprise Maximus,multiple_methods
120913,Minor,unclassified
120918,Surprise Minor,unclassified
120960,Southrepps Doubles,unclassified
122371,Surprise Minor,unclassified
122391,Minor,unclassified
122398,Minor,unclassified
122438,Doubles,unclassified
122460,Oxford Bob Triples,unclassified
122467,Spliced Surprise Major,multiple_methods
122553,Spliced Surprise Major,multiple_methods
122564,Doubles,unclassified
122566,Oxford Bob Triples,unclassified
122567,Doubles,unclassified
122615,Spliced Cornwall and Rutland Surprise Major,multiple_methods
122650,Mixed Doubles,multiple_methods
122670,All Saints Doubles,unclassified
122696,Treble Dodging Minor,unclassified
122717,Plain Bbob Minor,unclassified
122744,Spliced Major and Caters,multiple_methods
122776,Plain Bob,unclassified
122778,Surprise Minor,unclassified
122788,Spliced Cinques and Maximus,multiple_methods
122798,Minimus,unclassified
122868,Oxford TB Minor,unclassified
122876,Oxford Bob Triples,unclassified
122884,Doubles,unclassified
122936,Doubles,unclassified
122937,Doubles,unclassified
122988,Surprise Minor,unclassified
123011,Grandsire Doubles / Plain Bob Doubles,multiple_methods
123044,April Day Doubles,unclassified
123087,Minor,unclassified
123173,Spliced Grandsire Triples and Plain Bob Major,multiple_methods
123223,Kent TB Major,unclassified
123238,Spliced Surprise Major,multiple_methods
123291,Grandsire and Plain Bob Doubles,multiple_methods
123307,St. Simons Doubles,unclassified
123319,Doubles,unclassified
123352,St.Martin's Bob Triples,unclassified
123364,Doubles,unclassified
123444,Spliced Surprise Major,multiple_methods
123445,Plain Minor,unclassified
123488,Doubles,unclassified
123490,Kent TB Minor,unclassified
123510,Spliced Royal,multiple_methods
123515,Call Changes,call_changes
123527,Spliced Surprise Major,multiple_methods
123531,Doubles,unclassified
123552,Single Canterbury Bob Major,unclassified
123584,Doubles,unclassified
123636,Spliced Surprise Major,multiple_methods
123643,Minor,unclassified
123671,Spliced Plain Major,multiple_methods
123713,Spliced Surprise Royal,multiple_methods
123736,Minor,unclassified
123765,St David Doubles,unclassified
123792,Doubles,unclassified
123794,Treble Bob Minor,unclassified
123799,Doubles,unclassified
123817,Spliced Surprise Major,multiple_methods
123829,Doubles,unclassified
123886,Surprise Minor,unclassified
123949,Kent TB Major,unclassified
123999,Kent TB Royal,unclassified
124008,Oxford TB Minor,unclassified
124018,St Nicholas Mimimus,unclassified
124022,Minor,unclassified
124039,Kennington Doubles,unclassified
124068,Spliced Stedman and Grandsire Triples,multiple_methods
124082,Surprise Minor,unclassified
124097,Spliced Surprise Major,multiple_methods
124098,Spliced Surprise Major,multiple_methods
124101,Spliced Surprise Major,multiple_methods
124120,Spliced Surprise Major,multiple_methods
124126,Doubles,unclassified
124127,Oxford Treble Bob,unclassified
124139,Kent TB Royal,unclassified
124183,Annabels London Surprise Minor,unclassified
124198,Minor,unclassified
124236,St Clements CB Minor,unclassified
124258,Surprise Minor,unclassified
124268,Doubles,unclassified
124311,Surprise Minor,unclassified
131803,Spliced Surprise Major,multiple_methods
131822,Kent and Oxford Bob Minor,multiple_methods
131827,Spliced Treble Bob Major,multiple_methods
131831,Spliced Surprise Minor,multiple_methods
131841,Oxford TB Minor,unclassified
131858,Minor,unclassified
131869,Doubles,unclassified
131873,Doubles,unclassified
131875,Spliced Surprise Major,multiple_methods
131896,Mixed Doubles,multiple_methods
131924,Surprise Minor,unclassified
131938,Surprise Minor,unclassified
131961,Doubles,unclassified
132005,All Saints Doubles,unclassified
132017,Doubles,unclassified
132020,Doubles,unclassified
132025,Gainsborough LB Major,unclassified
132047,Doubles,unclassified
132048,Doubles,unclassified
132071,Doubles,unclassified
132072,Doubles,unclassified
132073,Doubles,unclassified
132081,Kent TB and Plain Bob Minor,multiple_methods
132083,Spliced Surprise Major,multiple_methods
132091,Minor,unclassified
132098,Surprise Minor,unclassified
132124,Kent TB and Plain Bob,unclassified
132132,Oxford Treble Bob,unclassified
132148,Surprise Minor,unclassified
132154,April Day Doubles,unclassified
132169,Call Changes,call_changes
132171,Call Changes,call_changes
132283,Plaim Bob Major,unclassified
132300,April Day Doubles,unclassified
132301,Kent TB Minor,unclassified
132305,Minor,unclassified
132331,April Day Doubles,unclassified
132335,Spliced Surprise Major,multiple_methods
132352,St Nicholas Minimus,unclassified
132354,St Clement's CB Minor,unclassified
132365,Spliced Surprise Major,multiple_methods
132372,April Day Doubles,unclassified
132374,Kent TB Minor,unclassified
132380,Plain Bob,unclassified
132383,Doubles,unclassified
132386,Clifford's Pleasure Doubles,unclassified
132389,April Day Doubles,unclassified
132394,St Cements College Bob,unclassified
132409,Spliced Treble Bob Major,multiple_methods
132427,Minor,unclassified
132428,Doubles,unclassified
132454,Kent TB Royal,unclassified
132463,Spliced Surprise Maximus,multiple_methods
132468,Doubles,unclassified
132470,Spliced Surprise Major,multiple_methods
132478,St Clements CB Minor,unclassified
132497,April Day Triples,unclassified
132500,April Day Doubles,unclassified
132514,Reverse Canterbury Doubles,unclassified
132544,Kent TB Royal,unclassified
132548,Oxford TB Major,unclassified
132550,Kent TB Royal,unclassified
132551,Oxford TB Major,unclassified
132553,Spliced Plain and Little Bob Major,multiple_methods
132558,Kent TB Major,unclassified
132564,Oxford TB Major,unclassified
132568,Kent TB Major,unclassified
132593,Surprise Minor,unclassified
132608,Doubles,unclassified
132615,Southrepps Doubles,unclassified
132690,Doubles,unclassified
132701,Spliced Surprise Major,multiple_methods
132745,Gainsborough LB Major,unclassified
132778,Doubles,unclassified
132795,Spliced Surprise Major,multiple_methods
132812,Treble Dodging Minor,unclassified
132861,Doubles and Minor,multiple_methods
132875,Kent TB Major,unclassified
132914,Doubles,unclassified
132916,Surprise Minor,unclassified
132917,Minor,unclassified
132930,Doubles,unclassified
132931,Minor,unclassified
132996,Surprise Minor,unclassified
132999,Minimus,unclassified
133004,Spliced Surprise Major,multiple_methods
133027,Spliced  Surprise Major,multiple_methods
133031,Doubles,unclassified
133032,Doubles,unclassified
133033,Doubles,unclassified
133036,Doubles,unclassified
133037,St Clements Bob Minor,unclassified
133042,April Day Triples,unclassified
133162,Doubles,unclassified
133167,Mixed Doubles,multiple_methods
133197,Lincolnshire Maximus,unclassified
133215,Doubles,unclassified
133216,St Martins,unclassified
133218,Ipswich and Cambridge,unclassified
